ID	Name	Definition	Synonyms	URI	is obsolete
CHMO_0000113	atomic force microscopy	Microscopy which uses a sharp spike (known as a 'tip') mounted on the end of a cantilever to scan the surface of the specimen. An image of the surface is obtained by mechanically moving the probe in a raster scan of the specimen, line by line, and recording the force experienced by the tip as a function of position. A feedback loop is used to maintain a fixed relationship between the tip and surface during scanning.	atomic force imaging,AFM,scanning force microscopy,atomic-force microscopy,SFM	http://purl.obolibrary.org/obo/CHMO_0000113	false
CHMO_0000524	liquid chromatography-mass spectrometry	A method where a sample mixture is first separated by liquid chromatography before being converted into ions which are characterised by their mass-to-charge ratio and relative abundance.	LC MS,iquid chromatography/mass spectrometry,LC/MS,LCMS,LC-MS,liquid chromatography mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000524	false
CHMO_0000701	liquid chromatography-tandem mass spectrometry	A method where a sample mixture is first separated by liquid chromatography before being ionised and characterised by mass-to-charge ratio and relative abundance using two mass spectrometers in series.	liquid chromatography tandem mass spectrometry,LCMSMS,LC-MSMS,LC-MS-MS,LC/MS/MS,liquid chromatography-tandem mass spectroscopy,LC-MS2,LC-MS/MS,liquid chromatography tandem mass spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000701	false
CHMO_0001746	liquid chromatography-electrochemical detection	A liquid chromatography method that is sensitive to compounds which can be either reduced or oxidised. The mobile phase passes directly over the working electrode, which is set to the specific potential required for oxidation or reduction. The current produced is then measured.	liquid chromatography electrochemical detection,liquid chromatography electrochemistry,liquid chromatography/electrochemistry,LC/ED,LCED,LCEC,liquid chromatography-electrochemistry,LC-ED	http://purl.obolibrary.org/obo/CHMO_0001746	false
CHMO_0002719	quadrupole time-of-flight mass spectrometry	Mass spectrometry that uses a system with a quadrupole mass-to-charge analyser connected to a time-of-flight mass-to-charge analyser.	Q-TOF-MS,Q-TOF MS,QTOF MS,QTOF-MS	http://purl.obolibrary.org/obo/CHMO_0002719	false
CLO_0000031	cell line			http://purl.obolibrary.org/obo/CLO_0000031	false
CL_0000000	cell	A material entity of anatomical origin (part of or deriving from an organism) that has as its parts a maximally connected cell compartment surrounded by a plasma membrane.		http://purl.obolibrary.org/obo/CL_0000000	false
CL_0000006	neuronal receptor cell		neuronal receptor cell (sensu Animalia)	http://purl.obolibrary.org/obo/CL_0000006	false
CL_0000028	CNS neuron (sensu Nematoda and Protostomia)			http://purl.obolibrary.org/obo/CL_0000028	false
CL_0000029	neuron neural crest derived			http://purl.obolibrary.org/obo/CL_0000029	false
CL_0000057	fibroblast	A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes; appear fusiform or spindle-shaped.		http://purl.obolibrary.org/obo/CL_0000057	false
CL_0000066	epithelial cell	A cell that is usually found in a two-dimensional sheet with a free surface. The cell has a cytoskeleton that allows for tight cell to cell contact and for cell polarity where apical part is directed towards the lumen and the basal part to the basal lamina.	epitheliocyte	http://purl.obolibrary.org/obo/CL_0000066	false
CL_0000099	interneuron	Most generally any neuron which is not motor or sensory. Interneurons may also refer to neurons whose axons remain within a particular brain region as contrasted with projection neurons which have axons projecting to other brain regions.		http://purl.obolibrary.org/obo/CL_0000099	false
CL_0000100	motor neuron	An efferent neuron that passes from the central nervous system or a ganglion toward or to a muscle and conducts an impulse that causes or inhibits movement.	motoneuron	http://purl.obolibrary.org/obo/CL_0000100	false
CL_0000101	sensory neuron	Any neuron having a sensory function; an afferent neuron conveying sensory impulses.		http://purl.obolibrary.org/obo/CL_0000101	false
CL_0000102	polymodal neuron			http://purl.obolibrary.org/obo/CL_0000102	false
CL_0000103	bipolar neuron	A type of interneuron that has two neurites, usually an axon and a dendrite, extending from opposite poles of an ovoid cell body.		http://purl.obolibrary.org/obo/CL_0000103	false
CL_0000104	multipolar neuron	Neuron with an axon and two or more dendrites.		http://purl.obolibrary.org/obo/CL_0000104	false
CL_0000105	pseudounipolar neuron	Neuron with two neurites that are fused grossly when they protrude from the soma and bifurcate a short distance from the soma.		http://purl.obolibrary.org/obo/CL_0000105	false
CL_0000106	unipolar neuron	Neuron with one neurite that extends from the cell body.		http://purl.obolibrary.org/obo/CL_0000106	false
CL_0000107	autonomic neuron	A neruon whose cell body is within an autonomic ganglion.		http://purl.obolibrary.org/obo/CL_0000107	false
CL_0000108	cholinergic neuron	A neuron that uses acetylcholine as a vesicular neurotransmitter.		http://purl.obolibrary.org/obo/CL_0000108	false
CL_0000109	adrenergic neuron			http://purl.obolibrary.org/obo/CL_0000109	false
CL_0000110	peptidergic neuron			http://purl.obolibrary.org/obo/CL_0000110	false
CL_0000111	peripheral neuron	A neuron that is part of nerve found outside the central nervous system.		http://purl.obolibrary.org/obo/CL_0000111	false
CL_0000112	columnar neuron			http://purl.obolibrary.org/obo/CL_0000112	false
CL_0000116	pioneer neuron	Pioneer neurons establish a pathway in the developing central nervous system and then undergo programmed cell death once the adult axons, which follow them, have made connections with the target site. Thus, they are a transient cell type involved in axon guidance.		http://purl.obolibrary.org/obo/CL_0000116	false
CL_0000117	CNS neuron (sensu Vertebrata)			http://purl.obolibrary.org/obo/CL_0000117	false
CL_0000118	basket cell			http://purl.obolibrary.org/obo/CL_0000118	false
CL_0000119	cerebellar Golgi cell	Large intrinsic neuron located in the granule layer of the cerebellar cortex that extends its dendrites into the molecular layer where they receive contact from parallel fibers. The axon of the Golgi cell enters ramifies densely in the granule layer and enters into a complex arrangement with mossy fiber terminals and granule cell dendrites to form the cerebellar glomerulus. Llinas, Walton and Lang. In The Synaptic Organization of the Brain. 5th ed. 2004.	Golgi cell,cerebellum Golgi cell,Golgi neuron,cerebellar Golgi neuron	http://purl.obolibrary.org/obo/CL_0000119	false
CL_0000120	granule cell			http://purl.obolibrary.org/obo/CL_0000120	false
CL_0000121	Purkinje cell	The output neuron of the cerebellar cortex.	cerebellar Purkinje cell,Purkinje's cell,Purkinje neuron,cerebellum Purkinje cell	http://purl.obolibrary.org/obo/CL_0000121	false
CL_0000122	stellate neuron			http://purl.obolibrary.org/obo/CL_0000122	false
CL_0000127	astrocyte	A class of large neuroglial (macroglial) cells in the central nervous system - the largest and most numerous neuroglial cells in the brain and spinal cord. Astrocytes (from 'star' cells) are irregularly shaped with many long processes, including those with 'end feet' which form the glial (limiting) membrane and directly and indirectly contribute to the blood-brain barrier. They regulate the extracellular ionic and chemical environment, and 'reactive astrocytes' (along with microglia) respond to injury.	astrocytic glia	http://purl.obolibrary.org/obo/CL_0000127	false
CL_0000128	oligodendrocyte	A class of large neuroglial (macroglial) cells in the central nervous system. Form the insulating myelin sheath of axons in the central nervous system.	OLs,oligodendroglia	http://purl.obolibrary.org/obo/CL_0000128	false
CL_0000129	microglial cell	A central nervous system macrophage found in the parenchyma of the central nervous system. Marker include CD11b-positive, F4/80-positive, and CD68-positive.	brain-resident macrophage,microglia,hortega cells,microgliocyte,brain macrophage,MF.microglia.CNS	http://purl.obolibrary.org/obo/CL_0000129	false
CL_0000198	pain receptor cell	The peripheral receptor for pain. Includes receptors which are sensitive to painful mechanical stimuli, extreme heat or cold, and chemical stimuli. All mammalian nociceptors are free nerve endings.	nociceptor,nocireceptor	http://purl.obolibrary.org/obo/CL_0000198	false
CL_0000199	mechanoreceptor cell	A cell specialized to transduce mechanical stimuli and relay that information centrally in the nervous system.	mechanoreceptor	http://purl.obolibrary.org/obo/CL_0000199	false
CL_0000200	touch receptor cell			http://purl.obolibrary.org/obo/CL_0000200	false
CL_0000202	auditory hair cell	A mechanoreceptor cell located in the inner ear that is sensitive to auditory stimuli. The accessory sensory structures are arranged so that appropriate stimuli cause movement of the hair-like projections (stereocilia and kinocilia) which relay the information centrally in the nervous system.	auditory receptor cell,cochlear hair cell,inner ear hair cell,inner ear receptor cell	http://purl.obolibrary.org/obo/CL_0000202	false
CL_0000203	gravity sensitive cell			http://purl.obolibrary.org/obo/CL_0000203	false
CL_0000204	acceleration receptive cell			http://purl.obolibrary.org/obo/CL_0000204	false
CL_0000205	thermoreceptor cell	A cellular receptor which mediates the sense of temperature. Thermoreceptor cells in vertebrates are mostly located under the skin. In mammals there are separate types of thermoreceptors for cold and for warmth and pain receptor cells which detect cold or heat extreme enough to cause pain.		http://purl.obolibrary.org/obo/CL_0000205	false
CL_0000206	chemoreceptor cell	A cell specialized to detect chemical substances and relay that information centrally in the nervous system. Chemoreceptors may monitor external stimuli, as in taste and olfaction, or internal stimuli, such as the concentrations of oxygen and carbon dioxide in the blood.		http://purl.obolibrary.org/obo/CL_0000206	false
CL_0000207	olfactory receptor cell		olfactory receptor neuron,olfactory sensory neuron,Schultze's cell,odorant receptor cell	http://purl.obolibrary.org/obo/CL_0000207	false
CL_0000208	pH receptor cell			http://purl.obolibrary.org/obo/CL_0000208	false
CL_0000209	taste receptor cell	A cell type found in the spherical or ovoid clusters of receptor cells found mainly in the epithelium of the tongue and constituting the end organs of the sense of taste.	taste bud cell	http://purl.obolibrary.org/obo/CL_0000209	false
CL_0000210	photoreceptor cell	A cell specialized to detect and transduce light.		http://purl.obolibrary.org/obo/CL_0000210	false
CL_0000235	macrophage	A mononuclear phagocyte present in variety of tissues, typically differentiated from monocytes, capable of phagocytosing a variety of extracellular particulate material, including immune complexes, microorganisms, and dead cells.	histiocyte	http://purl.obolibrary.org/obo/CL_0000235	false
CL_0000246	Mauthner neuron			http://purl.obolibrary.org/obo/CL_0000246	false
CL_0000247	Rohon-Beard neuron	Type of neuron that is a primary mechanosensory cell, with peripheral neurites innervating the skin with free nerve endings.	Rohon Beard cell,Rohon-Beard cell,RB neuron	http://purl.obolibrary.org/obo/CL_0000247	false
CL_0000251	extramedullary cell			http://purl.obolibrary.org/obo/CL_0000251	false
CL_0000253	eurydendroid cell			http://purl.obolibrary.org/obo/CL_0000253	false
CL_0000287	eye photoreceptor cell			http://purl.obolibrary.org/obo/CL_0000287	false
CL_0000376	humidity receptor cell			http://purl.obolibrary.org/obo/CL_0000376	false
CL_0000379	sensory processing neuron			http://purl.obolibrary.org/obo/CL_0000379	false
CL_0000381	neurosecretory neuron			http://purl.obolibrary.org/obo/CL_0000381	false
CL_0000397	ganglion interneuron			http://purl.obolibrary.org/obo/CL_0000397	false
CL_0000402	CNS interneuron			http://purl.obolibrary.org/obo/CL_0000402	false
CL_0000406	CNS short range interneuron			http://purl.obolibrary.org/obo/CL_0000406	false
CL_0000410	CNS long range interneuron			http://purl.obolibrary.org/obo/CL_0000410	false
CL_0000488	visible light photoreceptor cell	A photoreceptor cell that detects visible light.		http://purl.obolibrary.org/obo/CL_0000488	false
CL_0000489	scotopic photoreceptor cell			http://purl.obolibrary.org/obo/CL_0000489	false
CL_0000490	photopic photoreceptor cell			http://purl.obolibrary.org/obo/CL_0000490	false
CL_0000494	UV sensitive photoreceptor cell	A photoreceptor cell that detects ultraviolet light.		http://purl.obolibrary.org/obo/CL_0000494	false
CL_0000495	blue sensitive photoreceptor cell	A photoreceptor cell that is sensitive to blue light.		http://purl.obolibrary.org/obo/CL_0000495	false
CL_0000496	green sensitive photoreceptor cell	A photoreceptor cell that is sensitive to green light.		http://purl.obolibrary.org/obo/CL_0000496	false
CL_0000497	red sensitive photoreceptor cell	A photoreceptor cell that is sensitive to red light.		http://purl.obolibrary.org/obo/CL_0000497	false
CL_0000498	inhibitory interneuron	An interneuron (also called relay neuron, association neuron or local circuit neuron) is a multipolar neuron which connects afferent neurons and efferent neurons in neural pathways. Like motor neurons, interneuron cell bodies are always located in the central nervous system (CNS).		http://purl.obolibrary.org/obo/CL_0000498	false
CL_0000526	afferent neuron	A neuron which conveys sensory information centrally from the periphery.	input neuron	http://purl.obolibrary.org/obo/CL_0000526	false
CL_0000527	efferent neuron	A neuron which sends impulses peripherally to activate muscles or secretory cells.	output neuron	http://purl.obolibrary.org/obo/CL_0000527	false
CL_0000528	nitrergic neuron	A nerve cell where transmission is mediated by nitric oxide.		http://purl.obolibrary.org/obo/CL_0000528	false
CL_0000530	primary neuron			http://purl.obolibrary.org/obo/CL_0000530	false
CL_0000531	primary sensory neuron			http://purl.obolibrary.org/obo/CL_0000531	false
CL_0000532	CAP motoneuron			http://purl.obolibrary.org/obo/CL_0000532	false
CL_0000533	primary motor neuron			http://purl.obolibrary.org/obo/CL_0000533	false
CL_0000534	primary interneuron			http://purl.obolibrary.org/obo/CL_0000534	false
CL_0000535	secondary neuron			http://purl.obolibrary.org/obo/CL_0000535	false
CL_0000536	secondary motor neuron			http://purl.obolibrary.org/obo/CL_0000536	false
CL_0000540	neuron	The basic cellular unit of nervous tissue. Each neuron consists of a body, an axon, and dendrites. Their purpose is to receive, conduct, and transmit impulses in the nervous system.	nerve cell	http://purl.obolibrary.org/obo/CL_0000540	false
CL_0000544	slowly adapting mechanoreceptor cell			http://purl.obolibrary.org/obo/CL_0000544	false
CL_0000551	unimodal nocireceptor			http://purl.obolibrary.org/obo/CL_0000551	false
CL_0000555	neuronal brush cell			http://purl.obolibrary.org/obo/CL_0000555	false
CL_0000561	amacrine cell	Interneuron of the vertebrate retina. They integrate, modulate, and interpose a temporal domain in the visual message presented to the retinal ganglion cells, with which they synapse in the inner plexiform layer. They lack large axons.	amacrine neuron	http://purl.obolibrary.org/obo/CL_0000561	false
CL_0000567	polymodal nocireceptor			http://purl.obolibrary.org/obo/CL_0000567	false
CL_0000573	retinal cone cell	One of the two photoreceptor cell types in the vertebrate retina. In cones the photopigment is in invaginations of the cell membrane of the outer segment. Cones are less sensitive to light than rods, but they provide vision with higher spatial and temporal acuity, and the combination of signals from cones with different pigments allows color vision.		http://purl.obolibrary.org/obo/CL_0000573	false
CL_0000576	monocyte	Myeloid mononuclear recirculating leukocyte that can act as a precursor of tissue macrophages, osteoclasts and some populations of tissue dendritic cells.		http://purl.obolibrary.org/obo/CL_0000576	false
CL_0000587	cold sensing thermoreceptor cell	A thermoreceptor cell that detects reduced temperatures.		http://purl.obolibrary.org/obo/CL_0000587	false
CL_0000589	cochlear inner hair cell	A bulbous cell that is medially placed in one row in the organ of Corti. In contrast to the outer hair cells, the inner hair cells are fewer in number, have fewer sensory hairs, and are less differentiated.	inner hair cell	http://purl.obolibrary.org/obo/CL_0000589	false
CL_0000591	warmth sensing thermoreceptor cell	A thermoreceptor cell that detects increased temperatures.		http://purl.obolibrary.org/obo/CL_0000591	false
CL_0000598	pyramidal neuron	Pyramidal neurons have a pyramid-shaped soma with the apex and an apical dendrite pointed toward the pial surface and other dendrites and an axon emerging from the base. The axons may have local collaterals but also project outside their  region. Pyramidal neurons are found in the cerebral cortex, the hippocampus, and the amygdala.	projection neuron,pyramidal cell	http://purl.obolibrary.org/obo/CL_0000598	false
CL_0000601	outer hair cell	A mechanoreceptor in the organ of Corti. In mammals the outer hair cells are arranged in three rows which are further from the modiolus than the single row of inner hair cells. The motile properties of the outer hair cells may contribute actively to tuning the sensitivity and frequency selectivity of the cochlea.	cochlear outer hair cell	http://purl.obolibrary.org/obo/CL_0000601	false
CL_0000602	pressoreceptor cell	A receptor in the vascular system, particularly the aorta and carotid sinus, which is sensitive to stretch of the vessel walls.		http://purl.obolibrary.org/obo/CL_0000602	false
CL_0000604	retinal rod cell	One of the two photoreceptor cell types of the vertebrate retina. In rods the photopigment is in stacks of membranous disks separate from the outer cell membrane. Rods are more sensitive to light than cones, but rod mediated vision has less spatial and temporal resolution than cone vision.		http://purl.obolibrary.org/obo/CL_0000604	false
CL_0000609	vestibular hair cell	A mechanoreceptor located in the acoustic maculae and the semicircular canals that mediates the sense of balance, movement, and head position. The vestibular hair cells are connected to accessory structures in such a way that movements of the head displace their stereocilia. This influences the membrane potential of the cells which relay information about movements via the vestibular part of the vestibulocochlear nerve to the brain stem.	vestibular receptor cell	http://purl.obolibrary.org/obo/CL_0000609	false
CL_0000617	GABAergic neuron	A neuron that uses GABA as a vesicular neurotransmitter	GABA-ergic neuron	http://purl.obolibrary.org/obo/CL_0000617	false
CL_0000626	olfactory granule cell	Granule cell that is part of the olfactory bulb.		http://purl.obolibrary.org/obo/CL_0000626	false
CL_0000673	Kenyon cell			http://purl.obolibrary.org/obo/CL_0000673	false
CL_0000678	commissural neuron			http://purl.obolibrary.org/obo/CL_0000678	false
CL_0000679	glutamatergic neuron			http://purl.obolibrary.org/obo/CL_0000679	false
CL_0000687	R1 photoreceptor cell		R1 cell	http://purl.obolibrary.org/obo/CL_0000687	false
CL_0000690	R2 photoreceptor cell		R2 cell	http://purl.obolibrary.org/obo/CL_0000690	false
CL_0000691	stellate interneuron			http://purl.obolibrary.org/obo/CL_0000691	false
CL_0000693	neuroglioform cell	A stellate interneuron having 7-10 dendrites that may branch.	spiderweb cell	http://purl.obolibrary.org/obo/CL_0000693	false
CL_0000694	R3 photoreceptor cell		R3 cell	http://purl.obolibrary.org/obo/CL_0000694	false
CL_0000695	Cajal-Retzius cell	One of a transient population of pioneering neurons in the cerebral cortex. These cells are slender bipolar cells of the developing marginal zone. One feature of these cells in mammals is that they express the Reelin gene.		http://purl.obolibrary.org/obo/CL_0000695	false
CL_0000697	R4 photoreceptor cell		R4 cell	http://purl.obolibrary.org/obo/CL_0000697	false
CL_0000700	dopaminergic neuron	A neuron that releases dopamine as a neurotransmitter.	dopaminergic cell	http://purl.obolibrary.org/obo/CL_0000700	false
CL_0000702	R5 photoreceptor cell		R5 cell	http://purl.obolibrary.org/obo/CL_0000702	false
CL_0000705	R6 photoreceptor cell		R6 cell	http://purl.obolibrary.org/obo/CL_0000705	false
CL_0000707	R7 photoreceptor cell		R7 cell	http://purl.obolibrary.org/obo/CL_0000707	false
CL_0000709	R8 photoreceptor cell		R8 cell	http://purl.obolibrary.org/obo/CL_0000709	false
CL_0000717	fusimotor neuron	A subset of motor neurons that innervates intrafusal muscle fibers and has small diameter axons.		http://purl.obolibrary.org/obo/CL_0000717	false
CL_0000740	retinal ganglion cell	The set of neurons that receives neural inputs via bipolar, horizontal and amacrine cells. The axons of these cells make up the optic nerve.	RGC,ganglion cell of retina,gangliocyte	http://purl.obolibrary.org/obo/CL_0000740	false
CL_0000741	spinal accessory motor neuron	A motor neuron that is located in the cervical region of the spinal cord and selectively innervates the sternocleidmastoid or trapezius muscle. Unlike other motor neurons, they extend axons dorsally along lateral margins of the spinal cord.	SACMN	http://purl.obolibrary.org/obo/CL_0000741	false
CL_0000745	retina horizontal cell	A neuron that laterally connects other neurons in the inner nuclear layer of the retina.	horizontal cell	http://purl.obolibrary.org/obo/CL_0000745	false
CL_0000748	retinal bipolar neuron	A bipolar neuron found in the retina and having connections with photoreceptors cells and neurons in the inner plexiform layer.		http://purl.obolibrary.org/obo/CL_0000748	false
CL_0000749	ON-bipolar cell	A bipolar neuron found in the retina and having connections with photoreceptors cells and neurons in the inner half of the inner plexiform layer. These cells depolarize in response to light stimulation of their corresponding photoreceptors.		http://purl.obolibrary.org/obo/CL_0000749	false
CL_0000750	OFF-bipolar cell	A bipolar neuron found in the retina and having connections with photoreceptors cells and neurons in the outer half of the inner plexiform layer. These cells depolatize in response to light to dark transition.		http://purl.obolibrary.org/obo/CL_0000750	false
CL_0000751	rod bipolar cell	A bipolar neuron found in the retina that is synapsed by rod photoreceptor cells but not by cone photoreceptor cells.  These neurons depolarize in response to light.		http://purl.obolibrary.org/obo/CL_0000751	false
CL_0000752	cone retinal bipolar cell	A bipolar neuron found in the retina and having connections with cone photoreceptor cells and neurons in the inner plexiform layer.		http://purl.obolibrary.org/obo/CL_0000752	false
CL_0000753	type 1 cone bipolar cell (sensu Mus)	An OFF-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the outer half of the inner plexiform layer. The cell body of these cells is in the middle of the inner plexiform layer. The dendritic tree is stout and the axon terminates in sublamina 1. The axonal terminal is wide and has only a few varicosities.	DB1 cone bipolar cell	http://purl.obolibrary.org/obo/CL_0000753	false
CL_0000754	type 2 cone bipolar cell (sensu Mus)	An OFF-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the outer half of the inner plexiform layer. The dendritic tree is not well filled and the dendrites are more delicate than in type 1 cells. The axon terminal is bushier and exhibits a dense plexus of varicosities in the inner part of sublamina 1 (Ghosh et al., 2004).  It can be differentiated from other retinal bipolar neurons by its expression of marker genes: Neto1, Lhx3 and Irx-6 (Shekhar, 2016).	FMB cone bipolar cell	http://purl.obolibrary.org/obo/CL_0000754	false
CL_0000755	type 3 cone bipolar cell (sensu Mus)	An OFF-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the outer half of the inner plexiform layer. The dendritic tree is delicate and the dendritic tips appear small when compared with type 1 cells. The axon terminal is stratified and restricted to sublamina 2 of the inner plexiform layer.	DB2 cone bipolar cell	http://purl.obolibrary.org/obo/CL_0000755	false
CL_0000756	type 4 cone bipolar cell (sensu Mus)	An OFF-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the outer half of the inner plexiform layer. The cell has a diffuse axon terminal with varicosities in sublaminae 1 and 2 of the inner plexiform layer.	DB3 cone bipolar cell	http://purl.obolibrary.org/obo/CL_0000756	false
CL_0000757	type 5 cone bipolar cell (sensu Mus)	An ON-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the inner half of the inner plexiform layer. The axon terminal is restricted to sublamina 3 of the inner plexiform layer. It is narrowly stratified and branched. The dendritic tree has many delicate branches.	DB4 cone bipolar cell	http://purl.obolibrary.org/obo/CL_0000757	false
CL_0000758	type 6 cone bipolar cell (sensu Mus)	An ON-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the inner half of the inner plexiform layer. The cell has a loose, delicate axon terminal that opens in sublamina 3 of the inner plexiform layer and descends into sublamina 4.	DB5 cone bipolar cell	http://purl.obolibrary.org/obo/CL_0000758	false
CL_0000759	type 7 cone bipolar cell (sensu Mus)	An ON-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the inner half of the inner plexiform layer. The axon terminal is narrowly stratified and are found just below a calretinin-expressing band in sublamina 4 of the inner plexiform layer.	IMB cone bipolar cell	http://purl.obolibrary.org/obo/CL_0000759	false
CL_0000760	type 8 cone bipolar cell (sensu Mus)	An ON-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the inner half of the inner plexiform layer. This cell has the widest dendritic field and the widest axon terminal of all retinal bipolar cells. The axon terminal is delicate and stratified through sublaminae 4 and 5 of the inner plexiform layer.	DB6 cone bipolar cell	http://purl.obolibrary.org/obo/CL_0000760	false
CL_0000761	type 9 cone bipolar cell (sensu Mus)	An ON-bipolar neuron found in the retina and having connections with cone photoreceptors cells and neurons in the inner half of the inner plexiform layer. The dendritic tree is wide and the dendritic convergence indicates cone selectivity. The axon terminal is sparsely branched and terminates in sublamina 5 of the inner plexiform layer.	BB cone bipolar cell	http://purl.obolibrary.org/obo/CL_0000761	false
CL_0000847	ciliated olfactory receptor neuron	An olfactory receptor cell in which the apical ending of the dendrite is a pronounced ciliated olfactory knob.	ciliated sensory neuron,ciliated olfactory sensory neuron	http://purl.obolibrary.org/obo/CL_0000847	false
CL_0000848	microvillous olfactory receptor neuron	An olfactory receptor cell in which the apical ending of the dendrite is a knob that bears numerous microvilli.	microvillous olfactory sensory neuron,microvillous sensory neuron	http://purl.obolibrary.org/obo/CL_0000848	false
CL_0000849	crypt olfactory receptor neuron	An olfactory receptor cell with short cilia growing in an invagination bordered by microvilli.	crypt cell,crypt sensory neuron,crypt olfactory sensory neuron	http://purl.obolibrary.org/obo/CL_0000849	false
CL_0000850	serotonergic neuron	A neuron that releases serotonin as a neurotransmitter.	5-HT neuron,5-hydroxytryptamine neuron,serotinergic neuron	http://purl.obolibrary.org/obo/CL_0000850	false
CL_0000855	sensory hair cell	Hair cell is a mechanoreceptor cell that is sensitive to movement of the hair-like projections (stereocilia and kinocilia) which relay the information centrally in the nervous system.	hair cell	http://purl.obolibrary.org/obo/CL_0000855	false
